unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
79,29,0.75,0,3,ACAM,BRHO,60,focal,no,4/10/24,buds,4/15/24,,,,,,
15,29,0.75,0,1,ACAM,BRHO,18,focal,no,4/10/24,no,4/15/24,,,,,,
21,29,1,0,1,ACAM,BRHO,0,focal,no,4/10/24,no,4/15/24,,,,,,
97,29,0.6,0,4,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
113,29,1,0,4,ACAM,BRHO,6,focal,no,4/10/24,no,4/15/24,,,,,,
74,29,0.75,0,3,ACAM,BRHO,12,focal,no,4/10/24,buds,4/15/24,,,,,,
33,29,0.6,0,2,ACAM,BRHO,6,focal,no,4/10/24,no,4/15/24,,,,,,
128,30,0.6,0,5,ACAM,BRHO,48,focal,no,4/10/24,no,4/15/24,,,,,,
83,30,1,0,3,ACAM,BRHO,6,focal,no,4/10/24,no,4/15/24,,,,,,
31,30,0.6,0,2,ACAM,BRHO,0,focal,no,4/10/24,buds,4/15/24,,,,,,
67,30,0.6,0,3,ACAM,BRHO,36,focal,no,4/10/24,buds,4/15/24,,,,,,
20,30,0.75,0,1,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
56,30,1,0,2,ACAM,BRHO,24,focal,no,4/10/24,buds,4/15/24,,,,,,
64,30,0.6,0,3,ACAM,BRHO,12,focal,no,4/10/24,no,4/15/24,,,,,,
141,30,1,0,5,ACAM,BRHO,0,focal,no,4/10/24,no,4/15/24,,,,,,
180,31,1,1,1,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
276,31,0.6,1,5,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
308,31,0.75,1,1,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
200,31,0.75,1,2,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
258,31,0.75,1,4,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
196,31,0.75,1,2,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
311,31,1,1,1,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
218,31,0.6,1,3,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
231,32,1,1,3,ACAM,BRHO,0,focal,no,4/10/24,yes,4/15/24,,,,,,
183,32,0.6,1,2,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
