"focal","water","post_num","igr","equil","alpha_inter","microbe"
"ACAM",0.6,1085,-2.17310781872936,107,-0.0564598985905576,1
"ACAM",0.6,2914,-2.2390724786821,110,-0.056822095984859,1
"ACAM",0.6,2654,-1.99326033829131,106,-0.0528211995934204,1
"ACAM",0.6,1127,-2.11403977578141,110,-0.0521420530827599,1
"ACAM",0.6,699,-2.32064497507976,115,-0.0572490361591184,1
"ACAM",0.6,741,-1.90955405296072,109,-0.0494052273014985,1
"ACAM",0.6,1809,-2.28241388670886,106,-0.0589349980944227,1
"ACAM",0.6,2437,-1.71628126844146,107,-0.0453637486886705,1
"ACAM",0.6,136,-1.99367272734374,110,-0.0489351312441863,1
"ACAM",0.6,2803,-2.41152911862272,110,-0.063493824257005,1
"ACAM",0.6,2305,-2.28634720179996,111,-0.0578689427590924,1
"ACAM",0.6,888,-2.36214677873055,116,-0.0589875325635946,1
"ACAM",0.6,754,-2.19321528844879,113,-0.0538574313109961,1
"ACAM",0.6,2699,-2.19435266876685,106,-0.0568508801696535,1
"ACAM",0.6,1719,-1.71718702672794,103,-0.0474558804386209,1
"ACAM",0.6,2681,-1.82362615557178,106,-0.047740109853175,1
"ACAM",0.6,1634,-2.25779603257676,114,-0.0541293561488694,1
"ACAM",0.6,210,-1.98666616655627,113,-0.0475526787330329,1
"ACAM",0.6,732,-2.42494174181594,114,-0.0637053753519648,1
"ACAM",0.6,868,-2.36941842019911,115,-0.0599177087226448,1
"ACAM",0.6,2736,-2.46050605348445,116,-0.0643141885830618,1
"ACAM",0.6,1992,-2.22067708897058,115,-0.0524652879078241,1
"ACAM",0.6,785,-2.37930658199414,117,-0.0589330240308101,1
"ACAM",0.6,1353,-1.98311993899644,118,-0.045937602508417,1
"ACAM",0.6,810,-1.88836870772949,108,-0.0485658056038955,1
"ACAM",0.6,1932,-2.19421535884386,116,-0.0526238041324469,1
"ACAM",0.6,1862,-2.42366336773806,113,-0.0639296584745281,1
"ACAM",0.6,1310,-2.40290496724816,111,-0.0620833504246911,1
"ACAM",0.6,1501,-2.09985898376235,114,-0.0499363875763695,1
"ACAM",0.6,1829,-2.14890532116559,107,-0.054675345076965,1
