"focal","water","post_num","igr"
"ACAM",1,330,0.390311347407401
"ACAM",1,1799,-2.0337163152195
"ACAM",1,3913,-0.201412114343076
"ACAM",1,1615,-1.02120766145285
"ACAM",1,1749,1.11536964567242
"ACAM",1,37,-1.45818765097715
"ACAM",1,1129,0.334958490923267
"ACAM",1,729,0.634320788427408
"ACAM",1,878,-1.50105574200271
"ACAM",1,485,-0.189079406310156
"ACAM",1,3749,-0.229245489182739
"ACAM",1,1826,-0.947194625531891
"ACAM",1,2922,-1.26793906184868
"ACAM",1,2430,1.36432663258402
"ACAM",1,3673,-1.27700003655036
"ACAM",1,975,-0.34253630074116
"ACAM",1,2849,-1.22994779765282
"ACAM",1,2900,-0.0093060699029148
"ACAM",1,2979,-1.83166150505144
"ACAM",1,2374,-0.629797468485655
"ACAM",1,2378,-0.596803949754133
"ACAM",1,554,-0.359877895457233
"ACAM",1,1446,0.367575467279725
"ACAM",1,2159,0.32493279299327
"ACAM",1,3476,1.65427434084411
"ACAM",1,1948,-0.0103976758744566
"ACAM",1,2580,-0.720509078041831
"ACAM",1,1530,1.02478764812468
"ACAM",1,2604,1.60374406046246
"ACAM",1,2937,-0.559904560416894
"ACAM",1,343,0.468688091913928
"ACAM",1,2630,-0.298156327105649
"ACAM",1,3193,-0.171028566621443
"ACAM",1,40,-0.055766089437763
"ACAM",1,3756,0.161304813356122
"ACAM",1,537,-1.3263226181088
"ACAM",1,2423,-1.16240404552881
"ACAM",1,248,-0.837450588293461
"ACAM",1,1222,-0.420919754573483
"ACAM",1,2426,0.316192214611324
"ACAM",1,2087,0.949299921384422
"ACAM",1,2483,0.646511591194129
"ACAM",1,2858,1.07990544375687
"ACAM",1,1414,0.312057325796732
"ACAM",1,1304,0.779642770152271
"ACAM",1,1696,0.636394103079081
"ACAM",1,526,-0.0595582350216679
"ACAM",1,2690,-1.67221317927874
"ACAM",1,1069,-0.818275819906237
"ACAM",1,1426,0.0205623885996273
"ACAM",1,22,-0.452563168627615
"ACAM",1,1742,-0.392163299272972
"ACAM",1,1766,0.265802345139111
"ACAM",1,2241,-0.294481066692228
"ACAM",1,1395,0.235910692986119
"ACAM",1,2547,1.20471330502858
"ACAM",1,1128,1.11104643628308
"ACAM",1,3398,-1.86541978248995
"ACAM",1,983,0.475797335927053
"ACAM",1,1791,-0.0461766503388368
"ACAM",1,1516,-1.55501657021744
"ACAM",1,3910,0.949589585606655
"ACAM",1,1640,0.459940362991394
"ACAM",1,1639,-0.533549710803536
"ACAM",1,843,0.552923619537669
"ACAM",1,465,-0.507823396506721
"ACAM",1,996,0.517762328757829
"ACAM",1,1549,-0.84603035496107
"ACAM",1,3880,1.72860098306715
"ACAM",1,3801,-0.450497543457446
"ACAM",1,1200,-1.5891104361726
"ACAM",1,3417,-0.972587808064389
"ACAM",1,3863,-0.0563168487882236
"ACAM",1,1134,-0.33009020312768
"ACAM",1,84,-0.0136995210224051
"ACAM",1,1895,-0.125158878558944
"ACAM",1,3101,-0.228378901455251
"ACAM",1,1165,-0.409569670849252
"ACAM",1,2300,-0.373612156354553
"ACAM",1,2781,-0.881508350114126
"ACAM",1,3958,0.546302299029022
"ACAM",1,2668,0.201158843567177
"ACAM",1,1328,0.445785448303862
"ACAM",1,3617,0.309110264598663
"ACAM",1,557,-1.69832365164609
"ACAM",1,1685,-0.9027063897367
"ACAM",1,287,-0.914168812116569
"ACAM",1,2662,-0.613448429086746
"ACAM",1,3217,-0.0500683018660808
"ACAM",1,2377,-0.715664738989063
"ACAM",1,2535,-0.178329893249921
"ACAM",1,2903,2.42903125629193
"ACAM",1,2899,-0.186240909250119
"ACAM",1,3702,-1.36123957275129
"ACAM",1,1522,-0.922781483312821
"ACAM",1,858,0.380140773655314
"ACAM",1,1840,0.521940281179438
"ACAM",1,2667,-0.206151965276537
"ACAM",1,576,-0.0415447604841491
"ACAM",1,990,-0.328415439024841
"ACAM",1,3562,0.161665306703801
"ACAM",1,3808,0.362376758583355
"ACAM",1,3071,0.222367245965457
"ACAM",1,3175,0.541632588271423
"ACAM",1,316,0.166107603734214
"ACAM",1,1075,0.172738330878171
"ACAM",1,733,-1.78720413926921
